name,position,team
Max Kilman,DEF,Wolves
Jacob Ramsey,MID,Aston Villa
Jack Butland,GK,Crystal Palace
Georginio Wijnaldum,MID,Liverpool
Adam Lallana,MID,Brighton
Pablo Hernández Domínguez,MID,Leeds
Bukayo Saka,MID,Arsenal
Mohamed Salah,MID,Liverpool
Axel Tuanzebe,DEF,Man Utd
Conor Coady,DEF,Wolves
Luke Freeman,MID,Sheffield Utd
Jack Cork,MID,Burnley
Fabian Schär,DEF,Newcastle
Johann Berg Gudmundsson,MID,Burnley
Manuel Lanzini,MID,West Ham
Florian Lejeune,DEF,Newcastle
Willian Borges Da Silva,MID,Arsenal
Alisson Ramses Becker,GK,Liverpool
Marcos Rojo,DEF,Man Utd
Rekeem Harper,MID,West Brom
Che Adams,FWD,Southampton
Hal Robson-Kanu,FWD,West Brom
Andi Zeqiri,FWD,Brighton
Kamil Miazek,GK,Leeds
Jarrod Bowen,MID,West Ham
Jack O'Connell,DEF,Sheffield Utd
Pablo Marí,DEF,Arsenal
Matthew Longstaff,MID,Newcastle
Meritan Shabani,MID,Wolves
Fikayo Tomori,DEF,Chelsea
Jordan Stevens,MID,Leeds
Christian Benteke,FWD,Crystal Palace
Caoimhin Kelleher,GK,Liverpool
Declan Rice,MID,West Ham
Emile Smith Rowe,MID,Arsenal
Filip Benkovic,DEF,Leicester
Diego Llorente,DEF,Leeds
Owen Otasowie,MID,Wolves
Adam Forshaw,MID,Leeds
Jacob Murphy,MID,Newcastle
Joël Veltman,DEF,Brighton
Jayden Bogle,DEF,Sheffield Utd
Davy Pröpper,MID,Brighton
Thomas Partey,MID,Arsenal
Pablo Fornals,MID,West Ham
Adam Webster,DEF,Brighton
Shane Duffy,DEF,Brighton
Jayson Molumby,MID,Brighton
Mateo Kovacic,MID,Chelsea
Takumi Minamino,MID,Liverpool
Kevin Long,DEF,Burnley
Sofiane Boufal,MID,Southampton
Isaac Hayden,MID,Newcastle
Alex Nicolao Telles,DEF,Man Utd
Mateusz Klich,MID,Leeds
Mark Gillespie,GK,Newcastle
Jack Robinson,DEF,Sheffield Utd
Brandon Pierrick,MID,Crystal Palace
Oluwasemilogo Adesewo Ibidapo Ajayi,DEF,West Brom
John Lundstram,MID,Sheffield Utd
Mohamed Naser El Sayed Elneny,MID,Arsenal
Nampalys Mendy,MID,Leicester
John Fleck,MID,Sheffield Utd
Charlie Austin,FWD,West Brom
Erik Pieters,DEF,Burnley
Reiss Nelson,MID,Arsenal
Ashley Barnes,FWD,Burnley
Wilfred Ndidi,MID,Leicester
Martin Dubravka,GK,Newcastle
Nélson Cabral Semedo,DEF,Wolves
Ashley Westwood,MID,Burnley
Ben White,DEF,Brighton
George Baldock,DEF,Sheffield Utd
Bernardo Fernandes da Silva Junior,DEF,Brighton
Rúben Diogo da Silva Neves,MID,Wolves
Mathew Ryan,GK,Brighton
Ben Mee,DEF,Burnley
Yan Valery,DEF,Southampton
Ross Barkley,MID,Aston Villa
Paul Pogba,MID,Man Utd
Harry Wilson,MID,Liverpool
Leighton Clarkson,MID,Liverpool
Lee Grant,GK,Man Utd
Vladimir Coufal,DEF,West Ham
Nathan Tella,MID,Southampton
Jason Steele,GK,Brighton
Jorge Luiz Frello Filho,MID,Chelsea
Albian Ajeti,FWD,West Ham
Bjorn Engels,DEF,Aston Villa
Emil Krafth,DEF,Newcastle
Bruno André Cavaco Jordao,MID,Wolves
Henri Lansbury,MID,Aston Villa
Mahmoud Ahmed Ibrahim Hassan,MID,Aston Villa
Dean Henderson,GK,Man Utd
Jan Bednarek,DEF,Southampton
Danny Ings,FWD,Southampton
Leif Davis,DEF,Leeds
Barry Douglas,DEF,Leeds
Phil Bardsley,DEF,Burnley
Willy Caballero,GK,Chelsea
Tyrone Mings,DEF,Aston Villa
Thiago Thiago,DEF,Chelsea
Ben Gibson,DEF,Burnley
Mamadou Sakho,DEF,Crystal Palace
Sean Longstaff,MID,Newcastle
Francisco Casilla Cortés,GK,Leeds
Luke Cundle,MID,Wolves
Michy Batshuayi,FWD,Crystal Palace
David Button,GK,West Brom
Raphael Dias Belloli,MID,Leeds
Angus Gunn,GK,Southampton
Christian Atsu,MID,Newcastle
Matteo Guendouzi,MID,Arsenal
Allan Saint-Maximin,MID,Newcastle
Timothy Castagne,DEF,Leicester
Sam Woods,DEF,Crystal Palace
Miguel Almirón,MID,Newcastle
David Martin,GK,West Ham
Theo Corbeanu,MID,Wolves
Daniel Amartey,DEF,Leicester
John McGinn,MID,Aston Villa
Teden Mengi,DEF,Man Utd
Paul Dummett,DEF,Newcastle
Edinson Cavani,FWD,Man Utd
Cheikhou Kouyaté,MID,Crystal Palace
Mason Mount,MID,Chelsea
Chris Smalling,DEF,Man Utd
James McArthur,MID,Crystal Palace
Leandro Trossard,MID,Brighton
Diogo Jota,MID,Liverpool
Ben Johnson,DEF,West Ham
Ben Osborn,MID,Sheffield Utd
Florin Andone,FWD,Brighton
Christian Walton,GK,Brighton
Cedric Kipre,DEF,West Brom
Robert Snodgrass,MID,West Ham
Andreas Christensen,DEF,Chelsea
Tariq Lamptey,DEF,Brighton
Robin Koch,DEF,Leeds
Fabio Silva,FWD,Wolves
Fernando Marçal,DEF,Wolves
César Azpilicueta,DEF,Chelsea
Matt Targett,DEF,Aston Villa
Chris Wood,FWD,Burnley
Nick Pope,GK,Burnley
Daniel Castelo Podence,MID,Wolves
Joseph Gomez,DEF,Liverpool
Lucas Torreira,MID,Arsenal
Matt Macey,GK,Arsenal
Matt Phillips,MID,West Brom
Scott Dann,DEF,Crystal Palace
Ainsley Maitland-Niles,DEF,Arsenal
Kieran Gibbs,DEF,West Brom
Xherdan Shaqiri,MID,Liverpool
Stuart Dallas,DEF,Leeds
Alexis Mac Allister,MID,Brighton
Sead Kolasinac,DEF,Arsenal
Arthur Masuaku,DEF,West Ham
Connor Wickham,FWD,Crystal Palace
DeAndre Yedlin,DEF,Newcastle
Glenn Murray,FWD,Brighton
Vicente Guaita,GK,Crystal Palace
Luke Shaw,DEF,Man Utd
Danny Ward,GK,Leicester
Michael Verrips,GK,Sheffield Utd
Alex Oxlade-Chamberlain,MID,Liverpool
Fraser Forster,GK,Southampton
Kean Bryan,DEF,Sheffield Utd
Kurt Zouma,DEF,Chelsea
Stephen Henderson,GK,Crystal Palace
Mbwana Samatta,FWD,Aston Villa
Daniel James,MID,Man Utd
Charlie Taylor,DEF,Burnley
Marc Albrighton,MID,Leicester
Lys Mousset,FWD,Sheffield Utd
David de Gea,GK,Man Utd
Willy Boly,DEF,Wolves
Conor Gallagher,MID,West Brom
Dwight McNeil,MID,Burnley
Kalvin Phillips,MID,Leeds
Matthew Clarke,DEF,Brighton
Joel Mumbongo,FWD,Burnley
Grady Diangana,MID,West Brom
Pascal Groß,MID,Brighton
Pedro Lomba Neto,MID,Wolves
Thiago Alcántara do Nascimento,MID,Liverpool
Max Thompson,FWD,Burnley
Kepa Arrizabalaga,GK,Chelsea
Jack Wilshere,MID,West Ham
Chris Basham,DEF,Sheffield Utd
Anthony Mancini,MID,Burnley
Michael Obafemi,FWD,Southampton
Adama Traoré,MID,Wolves
Callum Hudson-Odoi,MID,Chelsea
Rúben Gonçalo Silva Nascimento Vinagre,DEF,Wolves
Aaron Ramsdale,GK,Sheffield Utd
Ricardo Domingos Barbosa Pereira,DEF,Leicester
Jack Stephens,DEF,Southampton
Matthew Cash,DEF,Aston Villa
David McGoldrick,FWD,Sheffield Utd
Kasper Schmeichel,GK,Leicester
Hamza Choudhury,MID,Leicester
Simon Moore,GK,Sheffield Utd
Tahith Chong,MID,Man Utd
Emerson Palmieri dos Santos,DEF,Chelsea
Luke Thomas,DEF,Leicester
Federico Fernández,DEF,Newcastle
Robert Sánchez,GK,Brighton
Marvelous Nakamba,MID,Aston Villa
James Tarkowski,DEF,Burnley
Yoshinori Muto,FWD,Newcastle
Matheus Pereira,MID,West Brom
Rhys Williams,DEF,Liverpool
Daniel N'Lundulu,FWD,Southampton
Nathaniel Clyne,DEF,Crystal Palace
Anthony Martial,FWD,Man Utd
Lewis Dunk,DEF,Brighton
Ahmed El Mohamady,DEF,Aston Villa
Ryan Bennett,DEF,Wolves
Saïd Benrahma,MID,West Ham
Jed Steer,GK,Aston Villa
Ezri Konsa Ngoyo,DEF,Aston Villa
Wes Foderingham,GK,Sheffield Utd
Emiliano Martínez,GK,Aston Villa
Marcos Alonso,DEF,Chelsea
James Maddison,MID,Leicester
Adrien Silva,MID,Leicester
Aaron Mooy,MID,Brighton
Jay Rodriguez,FWD,Burnley
John Ruddy,GK,Wolves
Jimmy Dunne,DEF,Burnley
Jay-Roy Grot,MID,Leeds
Demarai Gray,MID,Leicester
Gabriel Magalhães,DEF,Arsenal
James Milner,MID,Liverpool
Enda Stevens,DEF,Sheffield Utd
Fabio Henrique Tavares,MID,Liverpool
Nathan Redmond,MID,Southampton
Joelinton Cássio Apolinário de Lira,FWD,Newcastle
Dan Burn,DEF,Brighton
Conor Townsend,DEF,West Brom
Ian Carlo Poveda-Ocampo,MID,Leeds
Mason Greenwood,MID,Man Utd
Aaron Wan-Bissaka,DEF,Man Utd
Kyle Bartley,DEF,West Brom
Andriy Yarmolenko,MID,West Ham
Harry Maguire,DEF,Man Utd
Jake Vokins,DEF,Southampton
Eric Bailly,DEF,Man Utd
Patrick Bamford,FWD,Leeds
Karlan Grant,FWD,West Brom
Lukasz Fabianski,GK,West Ham
Callum Robinson,FWD,West Brom
Ørjan Nyland,GK,Aston Villa
Ki-Jana Hoever,DEF,Wolves
Billy Gilmour,MID,Chelsea
Mesut Özil,MID,Arsenal
Ezgjan Alioski,DEF,Leeds
Kayne Ramsay,DEF,Southampton
Eberechi Eze,MID,Crystal Palace
Alex McCarthy,GK,Southampton
Oliver McBurnie,FWD,Sheffield Utd
Timothy Fosu-Mensah,DEF,Man Utd
Filip Krovinovic,MID,West Brom
Christian Pulisic,MID,Chelsea
Wayne Hennessey,GK,Crystal Palace
João Filipe Iria Santos Moutinho,MID,Wolves
Ciaran Clark,DEF,Newcastle
Benjamin Chilwell,DEF,Chelsea
Karlo Ziger,GK,Chelsea
Leander Dendoncker,MID,Wolves
Wesley Fofana,DEF,Leicester
Alireza Jahanbakhsh,MID,Brighton
Josh Brownhill,MID,Burnley
Matty James,MID,Leicester
Ahmed El-Sayed Hegazy,DEF,West Brom
Jordan Ayew,FWD,Crystal Palace
Bobby Thomas,DEF,Burnley
Romaine Sawyers,MID,West Brom
José Izquierdo,MID,Brighton
Harvey Barnes,MID,Leicester
Daniel Ceballos Fernández,MID,Arsenal
Marcus Rashford,MID,Man Utd
Theo Walcott,MID,Southampton
Ryan Fredericks,DEF,West Ham
Michail Antonio,FWD,West Ham
Callum Wilson,FWD,Newcastle
David Luiz Moreira Marinho,DEF,Arsenal
Moussa Djenepo,MID,Southampton
Andreas Pereira,MID,Man Utd
Leonardo Campana,FWD,Wolves
Ryan Inniss,DEF,Crystal Palace
Anwar El Ghazi,MID,Aston Villa
Keinan Davis,FWD,Aston Villa
Odion Ighalo,FWD,Man Utd
Elliot Anderson,MID,Newcastle
Phil Jones,DEF,Man Utd
Andros Townsend,MID,Crystal Palace
Elia Caprile,GK,Leeds
N'Golo Kanté,MID,Chelsea
Liam Cooper,DEF,Leeds
Olivier Giroud,FWD,Chelsea
Kortney Hause,DEF,Aston Villa
Oliver Casey,DEF,Leeds
Tyler Roberts,MID,Leeds
Scott McTominay,MID,Man Utd
Matthew Lowton,DEF,Burnley
Rhian Brewster,FWD,Sheffield Utd
Darren Randolph,GK,West Ham
Rolando Aarons,MID,Newcastle
Héctor Bellerín,DEF,Arsenal
Cédric Soares,DEF,Arsenal
Pierre-Emerick Aubameyang,MID,Arsenal
Andy Carroll,FWD,Newcastle
Jack Grealish,MID,Aston Villa
Frederico Rodrigues de Paula Santos,MID,Man Utd
Douglas Luiz Soares de Paulo,MID,Aston Villa
Tom Heaton,GK,Aston Villa
Oriol Romeu Vidal,MID,Southampton
Mateusz Bogusz,MID,Leeds
Roberto Jimenez Gago,GK,West Ham
Jannik Vestergaard,DEF,Southampton
Martin Kelly,DEF,Crystal Palace
Harvey Elliott,MID,Liverpool
Nemanja Matic,MID,Man Utd
Indiana Vassilev,FWD,Aston Villa
Will Norris,GK,Burnley
Wesley Moraes,FWD,Aston Villa
Sébastien Haller,FWD,West Ham
Matej Vydra,FWD,Burnley
Kai Havertz,MID,Chelsea
Billy Sharp,FWD,Sheffield Utd
Christian Marques,DEF,Wolves
Dale Stephens,MID,Burnley
Frédéric Guilbert,DEF,Aston Villa
Rodrigo Moreno,FWD,Leeds
Kamil Grosicki,MID,West Brom
James Tomkins,DEF,Crystal Palace
Shkodran Mustafi,DEF,Arsenal
James Ward-Prowse,MID,Southampton
Islam Slimani,FWD,Leicester
Andrew Robertson,DEF,Liverpool
Stuart Armstrong,MID,Southampton
Jamie Shackleton,MID,Leeds
Ayoze Pérez,MID,Leicester
Adrián San Miguel del Castillo,GK,Liverpool
Taylor Perry,MID,Wolves
James McCarthy,MID,Crystal Palace
Jordan Hugill,FWD,West Ham
Alexandre Lacazette,FWD,Arsenal
Conor Hourihane,MID,Aston Villa
Yves Bissouma,MID,Brighton
Mohammed Salisu,DEF,Southampton
Tammy Abraham,FWD,Chelsea
Tomas Soucek,MID,West Ham
Sergio Romero,GK,Man Utd
Joseph Willock,MID,Arsenal
Lewis Richardson,FWD,Burnley
Morgan Gibbs-White,MID,Wolves
Jake Cain,MID,Liverpool
Jack Harrison,MID,Leeds
Lewis Richards,DEF,Wolves
Sander Berge,MID,Sheffield Utd
Aaron Cresswell,DEF,West Ham
Ryan Bertrand,DEF,Southampton
Donny van de Beek,MID,Man Utd
Divock Origi,FWD,Liverpool
Romain Saïss,DEF,Wolves
Rui Pedro dos Santos Patrício,GK,Wolves
Martín Montoya,DEF,Brighton
Rob Holding,DEF,Arsenal
Calum Chambers,DEF,Arsenal
Jairo Riedewald,MID,Crystal Palace
Rúnar Alex Rúnarsson,GK,Arsenal
Phil Jagielka,DEF,Sheffield Utd
Dwight Gayle,FWD,Newcastle
Naby Keita,MID,Liverpool
Max Meyer,MID,Crystal Palace
Hakim Ziyech,MID,Chelsea
Jonny Evans,DEF,Leicester
Kyle Edwards,MID,West Brom
Raheem Sterling,MID,Man City
Moise Kean,FWD,Everton
Aymeric Laporte,DEF,Man City
Zack Steffen,GK,Man City
Bernardo Mota Veiga de Carvalho e Silva,MID,Man City
Toby Alderweireld,DEF,Spurs
Niall Huggins,FWD,Leeds
Anthony Gordon,MID,Everton
Gabriel Fernando de Jesus,FWD,Man City
Kevin De Bruyne,MID,Man City
Gylfi Sigurdsson,MID,Everton
Fernando Luiz Rosa,DEF,Man City
Eric Dier,DEF,Spurs
Phil Foden,MID,Man City
Riyad Mahrez,MID,Man City
Niels Nkounkou,DEF,Everton
John Stones,DEF,Man City
Richarlison de Andrade,FWD,Everton
James Rodríguez,MID,Everton
Davinson Sánchez,DEF,Spurs
Japhet Tanganga,DEF,Spurs
Kgaogelo Chauke,MID,Southampton
Claudio Bravo,GK,Man City
Yerry Mina,DEF,Everton
Nathan Aké,DEF,Man City
Jarrad Branthwaite,DEF,Everton
Harry Winks,MID,Spurs
Robin Olsen,GK,Everton
Tanguy Ndombele,MID,Spurs
Sergio Reguilón,DEF,Spurs
Cameron Carter-Vickers,DEF,Spurs
Carlos Vinicius Alves Morais,FWD,Spurs
Cole Palmer,MID,Man City
Kyle Walker,DEF,Man City
Joe Hart,GK,Spurs
Abdoulaye Doucouré,MID,Everton
Cheikh Diaby,FWD,West Brom
Danny Rose,DEF,Spurs
Harry Lewis,GK,Southampton
Seamus Coleman,DEF,Everton
Serge Aurier,DEF,Spurs
Bernard Anício Caldeira Duarte,MID,Everton
Gareth Bale,MID,Spurs
Oleksandr Zinchenko,DEF,Man City
Fabian Delph,MID,Everton
Heung-Min Son,MID,Spurs
Andreas Söndergaard,GK,Wolves
Eric Garcia,DEF,Man City
Alex Iwobi,MID,Everton
Allan Marques Loureiro,MID,Everton
Erik Lamela,MID,Spurs
Gedson Carvalho Fernandes,MID,Spurs
Lucas Rodrigues Moura da Silva,MID,Spurs
Harry Kane,FWD,Spurs
Benjamin Mendy,DEF,Man City
Juan Foyth,DEF,Spurs
Ederson Santana de Moraes,GK,Man City
Felix Nmecha,MID,Man City
Rodrigo Hernandez,MID,Man City
Steven Bergwijn,MID,Spurs
James Trafford,GK,Man City
Scott Carson,GK,Man City
Moussa Sissoko,MID,Spurs
Mason Holgate,DEF,Everton
Ben Davies,DEF,Spurs
Tommy Doyle,MID,Man City
João Pedro Cavaco Cancelo,DEF,Man City
Dominic Calvert-Lewin,FWD,Everton
Joe Rodon,DEF,Spurs
Tom Davies,MID,Everton
Jordan Pickford,GK,Everton
Antwoine Hackford,FWD,Sheffield Utd
Oliver Skipp,MID,Spurs
Jean-Philippe Gbamin,MID,Everton
Luke Mbete,DEF,Man City
Ellis Simms,FWD,Everton
Ilkay Gündogan,MID,Man City
Sergio Agüero,FWD,Man City
André Filipe Tavares Gomes,MID,Everton
Hugo Lloris,GK,Spurs
Rúben Santos Gato Alves Dias,DEF,Man City
Ryan Sessegnon,DEF,Spurs
Ferran Torres,MID,Man City
Jonas Lössl,GK,Everton
Pierre-Emile Højbjerg,MID,Spurs
Paulo Gazzaniga,GK,Spurs
Charlie Cresswell,DEF,Leeds
Lucas Digne,DEF,Everton
Ben Godfrey,DEF,Everton
Nicolás Otamendi,DEF,Man City
Michael Keane,DEF,Everton
Cenk Tosun,FWD,Everton
Giovani Lo Celso,MID,Spurs
Taylor Harwood-Bellis,DEF,Man City
João Virgínia,GK,Everton
Bamidele Alli,MID,Spurs
Jonjoe Kenny,DEF,Everton
Matt Doherty,DEF,Spurs
Adrián Bernabé,MID,Man City
Liam Delap,FWD,Man City
André-Frank Zambo Anguissa,MID,Fulham
Jean Michaël Seri,MID,Fulham
Thomas McGill,GK,Brighton
Tosin Adarabioyo,DEF,Fulham
Tom Cairney,MID,Fulham
Bobby Decordova-Reid,FWD,Fulham
Ivan Ricardo Neves Abreu Cavaleiro,MID,Fulham
Frederik Alves,DEF,West Ham
Stefan Johansen,MID,Fulham
Alfie Mawson,DEF,Fulham
Josh Maja,FWD,Fulham
Dane Scarlett,FWD,Spurs
Kenny Tete,DEF,Fulham
Alfie Devine,MID,Spurs
Reda Khadra,MID,Brighton
Martin Ødegaard,MID,Arsenal
Alphonse Areola,GK,Fulham
Kevin McDonald,MID,Fulham
Maxime Le Marchand,DEF,Fulham
Joe Gelhardt,FWD,Leeds
Ademola Lookman,MID,Fulham
Ruben Loftus-Cheek,MID,Fulham
Jakub Moder,MID,Brighton
Zeze Steven Sessegnon,DEF,Fulham
Conor Coventry,MID,West Ham
Percy Tau,MID,Brighton
Michael Hector,DEF,Fulham
Terence Kongolo,DEF,Fulham
Anthony Knockaert,MID,Fulham
Jensen Weir,MID,Brighton
Tim Ream,DEF,Fulham
Gaetano Berardi,DEF,Leeds
Nathan Trott,GK,West Ham
Jamal Baptiste,DEF,West Ham
Neeskens Kebano,MID,Fulham
Joachim Andersen,DEF,Fulham
Aleksandar Mitrović,FWD,Fulham
Joe Bryan,DEF,Fulham
Cyrus Christie,DEF,Fulham
Fabricio Agosto Ramírez,GK,Fulham
Marek Rodák,GK,Fulham
Michal Karbownik,DEF,Brighton
Josh Onomah,MID,Fulham
Teddy Jenks,MID,Brighton
Ola Aina,DEF,Fulham
Max Sanders,MID,Brighton
Harrison Reed,MID,Fulham
Mario Lemina,MID,Fulham
Morgan Sanson,MID,Aston Villa
Denis Odoi,DEF,Fulham
Ademipo Odubeko,FWD,West Ham
Moisés Caicedo,MID,Brighton
Antonee Robinson,DEF,Fulham
Jaden Philogene-Bidace,MID,Aston Villa
Marcus Bettinelli,GK,Fulham
Carney Chukwuemeka,MID,Aston Villa
Kaine Hayden,MID,Aston Villa
Aboubakar Kamara,MID,Fulham
Nathan Broadhead,MID,Everton
Shane Flynn,MID,Leicester
Willian José Da Silva,FWD,Wolves
Frankie Maguire,MID,Sheffield Utd
Nathan Bishop,GK,Man Utd
Jean-Philippe Mateta,FWD,Crystal Palace
Alexandre Jankewitz,MID,Southampton
Zak Brunt,MID,Sheffield Utd
Shola Shoretire,MID,Man Utd
Tyler Onyango,MID,Everton
Amad Diallo,MID,Man Utd
Ozan Kabak,DEF,Liverpool
Harry Tyrer,GK,Everton
Nigel Lonwijk,DEF,Wolves
Thakgalo Leshabela,MID,Leicester
Kyron Gordon,DEF,Sheffield Utd
Jakub Ojrzynski,GK,Liverpool
Iliman Ndiaye,MID,Sheffield Utd
Ryan Astley,DEF,Everton
Vontae Daley-Campbell,DEF,Leicester
Caleb Watts,MID,Southampton
Hugo Bueno,DEF,Wolves
Allan Tchaptchet,DEF,Southampton
Will Ferry,MID,Southampton
Okay Yokuslu,MID,West Brom
Claudio Gomes,MID,Man City
Patrick Cutrone,FWD,Wolves
Reece Hannam,DEF,Crystal Palace
Richard Nartey,DEF,Burnley
Mbaye Diagne,FWD,West Brom
Liam Hughes,GK,Liverpool
Andy Lonergan,GK,West Brom
Ryan Finnigan,MID,Southampton
Kyle John,DEF,Everton
Joshua King,FWD,Everton
Sidnei Tavares,MID,Leicester
Ben Woodburn,MID,Liverpool
Valentino Livramento,DEF,Chelsea
Hannibal Mejbri,MID,Man Utd
Tyrese Francois,MID,Fulham
Femi Seriki,MID,Sheffield Utd
Caleb Taylor,DEF,West Brom
Toby King,MID,West Brom
Billy Koumetio,DEF,Liverpool
Cody Drameh,DEF,Leeds
Isaac Price,MID,Everton
Jesurun Rak-Sakyi,MID,Crystal Palace
Thanawat Suengchitthawon,MID,Leicester
Reece Welch,DEF,Everton
William Fish,DEF,Man Utd
Harry Boyes,DEF,Sheffield Utd
Tawanda Maswanhise,MID,Leicester
Taylor Gardner-Hickman,MID,West Brom
Sylvester Jasper,MID,Fulham
Crysencio Summerville,MID,Leeds
Anthony Elanga,MID,Man Utd
Sam Greenwood,FWD,Leeds
William Osula,FWD,Sheffield Utd
Fabio Carvalho,MID,Fulham
Daniel Jebbison,FWD,Sheffield Utd
Tim Iroegbunam,MID,West Brom
Miguel Azeez,MID,Arsenal
Nile John,MID,Spurs
